bedrooms,built_surface,bathrooms,latitude,longitude,parking,price
1,25,1,-33.4403112,-70.6566723,0,50000000
1,30,1,-33.4171254,-70.6659967,0,49500000
1,30,1,-33.4572695,-70.6906844,0,49500000
1,30,1,-33.4208781,-70.6615052,0,49500000
1,25,1,-33.4524579,-70.647929,0,48000000
1,22,1,-33.4524579,-70.647929,0,48000000
1,30,1,-33.400952,-70.6612948,0,48000000
1,30,1,-33.4541037,-70.7048823,0,48000000
1,22,1,-33.4536087,-70.6992098,0,47700000
1,29,1,-33.4226695,-70.6551854,0,46500000
1,17,1,-33.431234,-70.6927806,0,46470000
1,22,1,-33.4708256,-70.6480873,0,45000000
1,26,1,-33.4550292,-70.7004986,0,45000000
1,25,1,-33.452548,-70.705951,0,45000000
1,25,1,-33.450314,-70.6977809,1,45000000
1,20,1,-33.4572695,-70.6906844,0,43500000
1,31,1,-33.4208781,-70.6615052,0,42000000
